user_id,item_id,category,price,time_spent,clicked
0,38,tech,280,72,1
0,20,sports,131,83,1
0,22,sports,468,88,1
0,35,sports,159,53,1
0,1,fashion,303,2,0
0,20,tech,469,58,1
0,21,tech,245,89,1
0,48,sports,68,42,0
0,27,sports,199,62,1
0,46,fashion,60,55,1
0,2,tech,316,7,0
0,20,tech,176,18,0
0,3,tech,325,14,0
0,49,fashion,274,90,1
0,1,sports,453,71,1
0,43,tech,273,47,0
0,34,fashion,90,36,0
0,49,fashion,399,54,1
0,41,fashion,486,63,1
0,17,fashion,53,34,0
1,9,fashion,493,14,0
1,30,sports,465,78,1
1,22,tech,199,40,0
1,20,tech,347,53,1
1,23,fashion,226,60,1
1,44,tech,166,15,0
1,44,tech,354,71,1
1,8,tech,145,88,1
1,10,sports,90,8,0
1,34,sports,298,5,0
1,41,sports,50,28,0
1,6,tech,337,12,0
1,33,tech,57,23,0
1,23,tech,108,44,0
1,39,fashion,484,35,0
1,0,sports,110,47,0
1,13,sports,266,5,0
1,25,sports,264,14,0
1,38,sports,402,79,1
1,14,fashion,51,77,1
2,31,sports,250,52,1
2,31,fashion,494,23,0
2,38,tech,152,43,0
2,28,tech,169,71,1
2,21,fashion,179,45,0
2,5,fashion,455,75,1
2,27,tech,240,62,1
2,32,tech,386,27,0
2,12,tech,268,70,1
2,7,sports,146,62,1
2,36,tech,316,44,0
2,23,sports,324,32,0
2,31,tech,189,62,1
2,48,fashion,61,12,0
2,38,fashion,396,56,1
2,16,sports,122,2,0
2,1,fashion,352,96,1
2,32,tech,412,2,0
2,43,fashion,169,70,1
2,31,sports,333,55,1
3,10,sports,410,38,0
3,23,tech,381,98,1
3,5,fashion,404,16,0
3,32,tech,133,59,1
3,5,tech,268,20,0
3,35,sports,355,67,1
3,18,sports,317,33,0
3,39,sports,347,1,0
3,10,tech,482,50,0
3,22,sports,487,42,0
3,34,sports,261,16,0
3,25,tech,69,2,0
3,0,fashion,149,69,1
3,36,sports,18,99,1
3,18,sports,413,24,0
3,32,sports,122,72,1
3,35,fashion,113,84,1
3,34,fashion,482,99,1
3,24,tech,411,82,1
3,1,fashion,172,80,1
4,40,tech,77,33,0
4,13,tech,313,20,0
4,7,sports,204,17,0
4,32,sports,380,86,1
4,21,fashion,167,38,0
4,37,tech,60,54,1
4,7,sports,36,98,1
4,20,fashion,106,28,0
4,46,tech,462,61,1
4,47,sports,13,35,0
4,48,tech,181,92,1
4,29,tech,55,6,0
4,34,tech,46,24,0
4,28,tech,311,53,1
4,30,sports,197,97,1
4,20,sports,170,67,1
4,17,tech,499,95,1
4,2,fashion,289,32,0
4,46,fashion,160,66,1
4,26,fashion,395,90,1
5,16,tech,402,43,0
5,47,sports,486,42,0
5,25,sports,315,25,0
5,23,tech,325,7,0
5,35,tech,29,65,1
5,7,fashion,409,14,0
5,11,sports,480,15,0
5,27,fashion,331,32,0
5,22,sports,351,51,1
5,24,fashion,72,62,1
5,21,fashion,67,86,1
5,48,fashion,335,15,0
5,42,tech,490,8,0
5,43,tech,112,68,1
5,5,tech,489,94,1
5,46,sports,320,40,0
5,15,tech,379,30,0
5,18,tech,129,63,1
5,18,fashion,448,90,1
5,36,fashion,126,62,1
6,22,sports,402,12,0
6,0,fashion,131,1,0
6,46,fashion,105,48,0
6,24,tech,382,1,0
6,15,tech,496,64,1
6,4,fashion,358,67,1
6,11,fashion,153,51,1
6,36,fashion,194,29,0
6,13,tech,56,94,1
6,45,fashion,462,76,1
6,15,fashion,483,48,0
6,20,sports,109,33,0
6,29,tech,32,10,0
6,4,fashion,189,95,1
6,9,fashion,156,58,1
6,31,tech,334,4,0
6,15,sports,267,92,1
6,31,sports,349,24,0
6,11,fashion,172,33,0
6,32,tech,188,43,0
7,36,sports,74,33,0
7,39,fashion,52,44,0
7,28,tech,21,95,1
7,45,fashion,262,35,0
7,22,tech,99,8,0
7,28,fashion,467,90,1
7,33,sports,114,7,0
7,3,fashion,123,75,1
7,28,tech,286,36,0
7,9,tech,466,24,0
7,34,tech,108,36,0
7,17,tech,496,96,1
7,23,sports,199,96,1
7,36,tech,192,13,0
7,22,tech,364,30,0
7,16,tech,71,84,1
7,47,tech,351,13,0
7,18,tech,109,12,0
7,40,sports,85,9,0
7,6,fashion,232,52,1
8,18,fashion,376,16,0
8,4,sports,405,25,0
8,20,tech,160,16,0
8,38,tech,190,42,0
8,38,fashion,232,5,0
8,34,sports,230,75,1
8,17,sports,85,9,0
8,9,fashion,410,7,0
8,45,tech,177,42,0
8,8,fashion,292,66,1
8,4,tech,174,38,0
8,18,tech,330,86,1
8,16,sports,336,89,1
8,44,fashion,261,31,0
8,18,tech,373,54,1
8,38,sports,211,90,1
8,18,sports,135,67,1
8,44,tech,251,92,1
8,19,tech,392,39,0
8,0,sports,470,92,1
9,48,tech,321,33,0
9,37,tech,143,58,1
9,43,tech,169,45,0
9,46,tech,89,85,1
9,10,tech,173,99,1
9,18,tech,411,47,0
9,40,tech,23,15,0
9,30,tech,382,54,1
9,2,sports,450,75,1
9,11,fashion,233,16,0
9,7,fashion,469,24,0
9,27,tech,17,92,1
9,35,fashion,145,58,1
9,49,tech,50,64,1
9,26,fashion,456,17,0
9,8,tech,221,77,1
9,27,tech,406,46,0
9,34,tech,399,82,1
9,4,sports,418,66,1
9,9,fashion,251,5,0
10,32,fashion,74,18,0
10,31,sports,186,11,0
10,20,fashion,72,89,1
10,21,sports,292,49,0
10,12,tech,107,99,1
10,0,tech,320,6,0
10,27,tech,206,95,1
10,4,fashion,268,53,1
10,22,tech,62,37,0
10,9,fashion,92,17,0
10,20,fashion,466,1,0
10,44,tech,269,62,1
10,0,tech,497,32,0
10,33,sports,81,39,0
10,25,fashion,171,54,1
10,2,sports,315,12,0
10,0,fashion,245,5,0
10,29,fashion,260,57,1
10,16,sports,312,23,0
10,14,tech,350,14,0
11,1,sports,444,38,0
11,33,fashion,315,98,1
11,17,fashion,344,91,1
11,33,tech,175,97,1
11,23,sports,39,51,1
11,16,tech,294,4,0
11,9,tech,339,17,0
11,19,tech,43,6,0
11,1,tech,135,43,0
11,47,sports,380,23,0
11,15,sports,468,16,0
11,7,tech,204,96,1
11,2,sports,102,32,0
11,49,tech,131,51,1
11,18,tech,14,82,1
11,27,fashion,326,22,0
11,20,fashion,10,5,0
11,40,fashion,55,34,0
11,48,fashion,227,45,0
11,26,tech,291,47,0
12,21,sports,65,94,1
12,42,sports,57,61,1
12,16,fashion,301,1,0
12,7,tech,364,52,1
12,14,sports,136,56,1
12,21,fashion,483,28,0
12,22,fashion,225,2,0
12,44,fashion,23,59,1
12,6,sports,120,23,0
12,45,sports,248,18,0
12,37,sports,380,15,0
12,24,sports,494,28,0
12,9,sports,450,17,0
12,38,fashion,483,44,0
12,24,tech,22,84,1
12,24,fashion,76,18,0
12,46,sports,479,34,0
12,46,tech,245,83,1
12,41,tech,110,6,0
12,25,fashion,452,56,1
13,44,fashion,238,33,0
13,21,tech,207,70,1
13,47,fashion,340,62,1
13,29,sports,161,55,1
13,8,sports,396,31,0
13,39,tech,45,24,0
13,30,fashion,331,84,1
13,27,sports,13,79,1
13,5,fashion,378,94,1
13,37,sports,71,57,1
13,1,sports,212,8,0
13,25,sports,182,44,0
13,4,fashion,419,68,1
13,18,tech,29,12,0
13,46,tech,99,14,0
13,37,tech,391,11,0
13,35,tech,268,33,0
13,5,fashion,19,5,0
13,22,fashion,181,2,0
13,12,fashion,93,65,1
14,36,tech,282,9,0
14,10,sports,417,38,0
14,34,fashion,104,49,0
14,4,fashion,453,50,0
14,13,tech,385,75,1
14,8,fashion,85,99,1
14,34,tech,305,64,1
14,21,tech,337,11,0
14,40,tech,279,60,1
14,29,sports,222,37,0
14,4,sports,388,78,1
14,25,fashion,141,89,1
14,44,fashion,98,18,0
14,39,sports,113,14,0
14,31,sports,134,38,0
14,32,sports,72,15,0
14,32,tech,154,97,1
14,46,sports,459,78,1
14,39,sports,48,51,1
14,5,fashion,76,7,0
15,7,fashion,457,15,0
15,46,tech,298,94,1
15,38,sports,429,29,0
15,37,tech,106,27,0
15,32,fashion,205,86,1
15,1,fashion,14,74,1
15,32,fashion,303,13,0
15,30,sports,237,88,1
15,14,tech,145,5,0
15,28,sports,333,76,1
15,44,fashion,420,95,1
15,35,fashion,308,27,0
15,4,sports,263,74,1
15,39,fashion,143,72,1
15,22,sports,355,46,0
15,42,fashion,150,62,1
15,17,tech,490,60,1
15,42,tech,385,37,0
15,7,sports,115,92,1
15,30,fashion,402,51,1
16,28,fashion,305,41,0
16,21,sports,416,1,0
16,45,tech,414,90,1
16,45,fashion,480,57,1
16,0,sports,447,55,1
16,39,sports,158,47,0
16,8,tech,146,74,1
16,25,tech,300,63,1
16,24,fashion,84,38,0
16,1,sports,219,91,1
16,33,sports,26,43,0
16,43,sports,188,54,1
16,23,tech,464,52,1
16,5,tech,353,33,0
16,48,tech,72,22,0
16,25,fashion,478,49,0
16,6,tech,93,49,0
16,19,fashion,351,92,1
16,39,tech,336,1,0
16,31,tech,487,87,1
17,18,fashion,41,30,0
17,28,tech,438,93,1
17,29,sports,27,1,0
17,13,sports,184,66,1
17,27,tech,123,94,1
17,37,sports,328,4,0
17,0,tech,64,3,0
17,31,fashion,467,83,1
17,45,fashion,389,97,1
17,22,sports,485,32,0
17,49,sports,358,8,0
17,0,tech,256,67,1
17,23,sports,452,72,1
17,46,tech,76,51,1
17,32,sports,273,34,0
17,34,fashion,297,46,0
17,42,tech,191,85,1
17,13,sports,320,48,0
17,17,sports,339,7,0
17,32,sports,94,19,0
18,47,tech,412,36,0
18,28,fashion,11,1,0
18,46,tech,413,11,0
18,41,sports,395,67,1
18,22,sports,405,20,0
18,4,tech,431,94,1
18,8,fashion,62,44,0
18,34,fashion,351,24,0
18,16,fashion,167,59,1
18,45,sports,137,96,1
18,16,fashion,124,81,1
18,13,tech,49,66,1
18,44,tech,368,73,1
18,21,sports,13,26,0
18,28,tech,107,87,1
18,36,sports,335,18,0
18,20,fashion,365,41,0
18,37,fashion,26,37,0
18,24,fashion,387,76,1
18,22,tech,371,86,1
19,20,sports,322,31,0
19,5,sports,177,98,1
19,11,tech,318,71,1
19,9,tech,410,26,0
19,20,fashion,131,46,0
19,1,fashion,372,65,1
19,35,sports,291,29,0
19,20,sports,305,11,0
19,35,tech,196,39,0
19,39,sports,319,98,1
19,46,fashion,415,69,1
19,32,fashion,45,20,0
19,18,sports,253,81,1
19,44,sports,491,73,1
19,25,fashion,82,73,1
19,39,tech,138,89,1
19,42,fashion,34,39,0
19,34,sports,238,44,0
19,29,fashion,363,12,0
19,18,tech,53,59,1
20,48,tech,26,74,1
20,48,sports,21,62,1
20,15,sports,273,95,1
20,20,tech,224,80,1
20,5,tech,475,89,1
20,11,sports,68,26,0
20,40,tech,35,47,0
20,31,fashion,25,71,1
20,16,sports,291,85,1
20,21,fashion,400,14,0
20,14,tech,16,9,0
20,47,fashion,324,87,1
20,28,fashion,232,94,1
20,38,sports,411,59,1
20,41,sports,282,14,0
20,30,sports,117,60,1
20,44,fashion,140,37,0
20,42,fashion,192,87,1
20,43,sports,24,4,0
20,28,fashion,418,13,0
21,17,tech,25,42,0
21,43,fashion,459,55,1
21,34,fashion,43,30,0
21,12,tech,283,32,0
21,31,sports,388,39,0
21,45,tech,455,93,1
21,43,tech,281,56,1
21,43,sports,386,10,0
21,29,tech,368,84,1
21,4,tech,487,49,0
21,2,tech,151,30,0
21,49,fashion,455,37,0
21,24,tech,446,79,1
21,8,sports,314,88,1
21,3,sports,302,61,1
21,36,sports,389,70,1
21,38,sports,311,88,1
21,10,fashion,342,98,1
21,24,sports,61,4,0
21,7,tech,72,54,1
22,44,fashion,339,98,1
22,25,tech,250,3,0
22,5,tech,270,54,1
22,46,sports,186,9,0
22,34,fashion,250,61,1
22,41,sports,187,82,1
22,16,sports,169,99,1
22,37,tech,129,89,1
22,8,fashion,366,98,1
22,10,tech,449,67,1
22,27,tech,146,67,1
22,24,fashion,341,42,0
22,8,sports,49,25,0
22,4,sports,452,98,1
22,23,sports,47,72,1
22,4,fashion,411,70,1
22,36,tech,293,69,1
22,12,tech,123,40,0
22,44,fashion,358,58,1
22,2,fashion,49,91,1
23,12,tech,298,6,0
23,23,sports,345,40,0
23,27,tech,68,59,1
23,47,tech,278,45,0
23,24,tech,179,63,1
23,26,fashion,197,7,0
23,4,sports,54,58,1
23,30,sports,435,10,0
23,31,sports,446,30,0
23,38,sports,91,2,0
23,13,tech,486,12,0
23,38,fashion,233,13,0
23,45,sports,122,17,0
23,39,sports,363,60,1
23,23,tech,172,70,1
23,18,fashion,464,74,1
23,40,fashion,328,28,0
23,14,fashion,46,93,1
23,21,fashion,333,91,1
23,16,fashion,410,10,0
24,0,fashion,483,82,1
24,49,fashion,201,47,0
24,28,sports,236,52,1
24,11,sports,38,11,0
24,32,fashion,376,79,1
24,31,sports,468,58,1
24,22,fashion,491,46,0
24,33,tech,13,81,1
24,34,tech,498,39,0
24,14,sports,294,29,0
24,10,fashion,184,78,1
24,19,fashion,468,27,0
24,2,tech,391,56,1
24,27,tech,30,47,0
24,15,tech,452,84,1
24,5,sports,450,69,1
24,2,sports,266,58,1
24,37,sports,171,61,1
24,34,tech,290,24,0
24,11,fashion,280,80,1
25,26,fashion,482,17,0
25,28,tech,17,79,1
25,26,fashion,59,71,1
25,2,tech,457,44,0
25,23,fashion,396,20,0
25,45,sports,162,94,1
25,13,sports,282,84,1
25,35,tech,175,48,0
25,21,fashion,126,2,0
25,23,sports,73,77,1
25,16,tech,283,94,1
25,17,fashion,104,38,0
25,31,sports,310,89,1
25,32,fashion,434,8,0
25,10,fashion,188,88,1
25,40,tech,85,46,0
25,31,sports,89,54,1
25,21,tech,211,40,0
25,31,fashion,362,2,0
25,32,tech,242,77,1
26,29,tech,86,26,0
26,21,sports,203,38,0
26,38,fashion,183,15,0
26,33,fashion,384,44,0
26,48,sports,326,67,1
26,5,tech,271,73,1
